track_id	track_name
107	Hotel California
160	旁观者
208	1937
217	So Bad
239	I'll Fly Away
395	ÆGDE
480	硬骨头
507	故梦（Cover 橙翼）
570	童年
677	月半小夜曲
709	藏剑
717	万代·传承
734	我在那一角落患过伤风
737	年轮
823	无聊人
828	童话镇
887	SENTIMENTAL (센치해)
913	Starboy
978	Creepin' Up On You
984	桜が咲く前に
1003	我相信
1039	123我爱你
1066	热血燃烧
1099	最美的期待
13713	越夜越有机
95268	简简单单
95272	一千年以后
96392	ROLLIN
97882	温柔的慈悲
108083	我可以抱你吗
153606	踢出个未来
185674	关于
254561	晚风
398016	勇敢的心
401243	趁早
434985	明天
437876	背叛Live
442828	We Will Not Grow Old
447810	你不是真正的快乐
460106	说爱我
491655	分分钟需要你
533018	祝福
626723	军港之夜
666513	高原蓝
691950	痒
798367	痛彻心扉
807561	Everybody Hurts
861872	漂亮的姑娘就要嫁人啦
877822	温柔的慈悲
881945	七情六欲
926109	月光女神
1086817	红尘情歌
1287194	路边的野花不要采
1458917	花木兰
1697268	追梦人
2480254	假如没有如果
2801744	凡人歌
3524331	你是哪里人
4764606	燕儿飞
4820943	游子梦
4830123	伤心太平洋
4830486	唱着情歌流着泪
4830637	铁窗泪
4894439	六月的雪
4906932	ABC
4918060	稻香 (Live)
4953900	错过的情人
4958488	冷暖自知
4997484	一个人
5022875	小青蛙 (独唱版)
5061202	解脱 (Live)
5075092	郎的诱惑
5144036	月亮惹的祸 (Live)
5258969	安静下来
5379810	马航去的地方
7008519	一江水
7016924	谢谢你
7049822	你一定要幸福
7085850	我的世界
7150090	爱太痛
7170427	我在红尘中遇见你
7228604	1981
7229178	平凡之路 (舒缓版)
7241340	咱们结婚吧
7265865	我的九寨
101129744	你是我的花朵
101555425	可惜没如果
101810619	蜗居
101829430	Uptown Funk
102188641	大哥
102219298	0231
102301513	你的配角
102321343	月满弦
102327372	卓玛
102334526	真心真意过一生 (潇洒自在版)
102348824	血腥爱情故事
102384264	Ay Vamos (Explicit)
102449065	古城之恋
102449066	流浪的月亮
102947782	Baby Girl
103108524	Deep Down Low
103387716	友情岁月
105541438	嫁你个头	这么美好	你去？! (节目)
105575938	明天过后 (Live)
105748640	Hotel California (老鹰乐队：加州旅馆)
105749804	天在下雨我在想你
105805537	梦驼铃
105876234	爱如潮水
106398957	其实很寂寞
106415772	你是我最爱的女人
106585736	一天一万年
106643766	天高地厚
106672350	突然的自我 (DJ版)
106717000	味道
107186934	杨柳
108875704	谢娜不是我老婆
108985785	我要你
109425017	最炫小苹果 (DJ版)
109744622	最美的遇见
121643393	魂
123966325	大侠霍元甲~萬里長城永不倒
125364619	2011年肇庆苏荷酒吧精选慢摇舞曲串烧 by DJ阿联 (DJ版)
125387971	伤心太平洋 (DJ版)
125394735	夸河套
125855727	春有百花秋有月
200226336	你敬我一尺我还你一丈 (Remix)
200253552	Joke 闹着玩儿
200372194	첫눈처럼 너에게 가겠다 (像初雪一样靠近你)
200372763	让我留在你身边 (原唱作版)
200519518	浪子的心
200534696	时光投影
200549981	鼓楼
200856296	California
200984010	最炫民族风
201594054	爱过的你还在我心里
201615621	钢铁是怎样炼成的
201821173	寻
201875880	狼爱上羊 (新版)
201877389	寂寞广场
201949417	Reminding Me
202071746	住在地球晒夕阳
202430517	Shalalala
202814739	就这样
202815429	失约
202819246	想你了
202976238	It's Over
203488534	你就不要再想起我
203700099	Jocelyn Flores
203799757	孟婆的碗
203810208	The Spectre
205130041	娜美
205396414	一听节奏就拿下
209378295	差一步
212049485	家
212434220	广东十年爱情故事
212542625	一人饮酒醉 (Live)
212683038	天已黑 + 想做你的疯女孩 + 我们的小世界 (Live)
212891616	十九岁
212896710	《重庆森林》：天后王菲	影后王靖雯 (节目)
213016413	从你的世界路过
213082338	宝贝
213102838	行星
213745910	拍灰舞 (DJ版)
213773275	回忆总想哭
213837879	最美我们
213869675	天意
213976573	不尽不休
213978475	给陌生的你听
214074992	今夜你又不回来
214083615	如约而至
214950434	有没有人告诉你 (1/7 Concert Live)
215429336	母系社会 (Live)
216978002	寂寞情殇
217184792	FLOW (Live)
218485472	Sunflower
219123582	（一个男人） 一个女人和浴室
221429068	星期天
221451594	夜之光 (DJ版)
221880188	人生苦短放纵生活 (DJ版)
224934236	世世 (粤语版)
225097899	领悟 (Live)
225291788	Tor
226573694	爱了很久的朋友 (Live)
226852437	我相信 (Live)
227858819	燕窝
70	My Heart Will Go On（我心永恒）
